#Inscrições

#NºAluno;NºUC;Ano Letivo;Nota

1800007;21010;2012/2013;10
1800015;21002;2015/2016;2
1800015;21010;2015/2016;9
1800015;21173;2015/2016;10
1800015;21174;2015/2016;11
1800015;21175;2015/2016;6
1800015;21176;2015/2016;7
1800015;21037;2015/2016;10
1800015;21082;2015/2016;11
1800015;21111;2015/2016;12
1800015;21177;2015/2016;13
1800015;21178;2015/2016;11
1800003;21002;2018/2019;11
1800003;21010;2018/2019;12
1800003;21173;2018/2019;13
1800003;21174;2018/2019;15
1800003;21175;2018/2019;10
1800003;21176;2018/2019;11
1800003;21037;2018/2019;12
1800003;21082;2018/2019;13
1800003;21111;2018/2019;15
1800003;21177;2018/2019;12
1800003;21178;2018/2019;20
1800008;21002;2018/2019;12
1800008;21010;2018/2019;13
1800008;21173;2018/2019;12
1800008;21174;2018/2019;9
1800008;21175;2018/2019;15
1800008;21176;2018/2019;10
1800008;21037;2018/2019;11
1800008;21082;2018/2019;8
1800008;21111;2018/2019;12
1800008;21177;2018/2019;13
1800008;21178;2018/2019;14
1800003;21048;2019/2020;15
1800003;21053;2019/2020;16
1800005;21010;2019/2020;12
1800008;21048;2019/2020;11
1800008;21053;2019/2020;10
1800008;21078;2019/2020;11
1800008;21093;2019/2020;12
1800008;21106;2019/2020;13
1800008;21046;2019/2020;11
1800008;21071;2019/2020;11
1800008;21076;2019/2020;12
1800008;21077;2019/2020;12
1800008;21179;2019/2020;13
1800008;21020;2019/2020;11
1800008;21062;2019/2020;11
1800008;21103;2019/2020;10
1800008;21110;2019/2020;11
