#Inscrições

#NºAluno;NºUC;Ano Letivo;Nota

1800007;21010;2012/2013;10
1800015;21002;2015/2016;2
1800015;21010;2015/2016;9
1800015;21173;2015/2016;10
1800015;21174;2015/2016;11
1800015;21175;2015/2016;6
1800015;21176;2015/2016;7
1800015;21037;2015/2016;10
1800015;21082;2015/2016;11
1800015;21111;2015/2016;12
1800015;21177;2015/2016;13
1800015;21178;2015/2016;11
1800003;21002;2018/2019;11
1800003;21010;2018/2019;12
1800003;21173;2018/2019;13
1800003;21174;2018/2019;15
1800003;21175;2018/2019;10
1800003;21176;2018/2019;11
1800003;21037;2018/2019;12
1800003;21082;2018/2019;13
1800003;21111;2018/2019;15
1800003;21177;2018/2019;12
1800003;21178;2018/2019;20
1800008;21002;2018/2019;12
1800008;21010;2018/2019;13
1800008;21173;2018/2019;12
1800008;21174;2018/2019;9
1800008;21175;2018/2019;15
1800008;21176;2018/2019;10
1800008;21037;2018/2019;11
1800008;21082;2018/2019;8
1800008;21111;2018/2019;12
1800008;21177;2018/2019;13
1800008;21178;2018/2019;14
1800010;21048;2018/2019;15
1800010;21053;2018/2019;12
1800010;21078;2018/2019;13
1800010;21093;2018/2019;12
1800010;21106;2018/2019;15
1800010;21046;2018/2019;16
1800010;21071;2018/2019;17
1800010;21076;2018/2019;15
1800010;21077;2018/2019;12
1800010;21179;2018/2019;16
1800011;21048;2018/2019;15
1800011;21053;2018/2019;12
1800011;21078;2018/2019;13
1800011;21093;2018/2019;12
1800011;21106;2018/2019;15
1800011;21046;2018/2019;16
1800011;21071;2018/2019;17
1800011;21076;2018/2019;15
1800011;21077;2018/2019;12
1800011;21179;2018/2019;16
1800012;21048;2018/2019;15
1800012;21053;2018/2019;12
1800012;21078;2018/2019;13
1800012;21093;2018/2019;12
1800012;21106;2018/2019;6
1800012;21046;2018/2019;16
1800012;21071;2018/2019;17
1800012;21076;2018/2019;15
1800012;21077;2018/2019;12
1800012;21179;2018/2019;16
1800013;21048;2018/2019;15
1800013;21053;2018/2019;17
1800013;21078;2018/2019;13
1800013;21093;2018/2019;12
1800013;21106;2018/2019;17
1800013;21046;2018/2019;16
1800013;21071;2018/2019;17
1800013;21076;2018/2019;15
1800013;21077;2018/2019;12
1800013;21179;2018/2019;16
1800014;21048;2018/2019;15
1800014;21053;2018/2019;12
1800014;21078;2018/2019;13
1800014;21093;2018/2019;12
1800014;21106;2018/2019;6
1800014;21046;2018/2019;16
1800014;21071;2018/2019;17
1800014;21076;2018/2019;15
1800014;21077;2018/2019;12
1800014;21179;2018/2019;16
1800016;21048;2018/2019;15
1800016;21053;2018/2019;12
1800016;21078;2018/2019;13
1800016;21093;2018/2019;12
1800016;21106;2018/2019;6
1800016;21046;2018/2019;16
1800016;21071;2018/2019;17
1800016;21076;2018/2019;9
1800016;21077;2018/2019;12
1800016;21179;2018/2019;16
1800003;21048;2019/2020;15
1800003;21053;2019/2020;16
1800005;21010;2019/2020;12
1800008;21048;2019/2020;11
1800008;21053;2019/2020;10
1800008;21078;2019/2020;11
